2025-04-13 12:55:28.660 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 12:55:28.672 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 12:55:28.830 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 12:55:28.841 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 12:57:26.681 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 12:57:26.700 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 12:57:26.901 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 12:57:26.915 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 12:58:01.929 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 12:58:01.955 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 12:58:02.129 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 12:58:02.141 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 13:05:55.747 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 13:05:55.920 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 13:05:55.933 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:09:15.872 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:09:15.895 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:09:16.066 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:09:16.078 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:12:39.660 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:12:39.673 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:12:39.863 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:12:39.875 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:15:44.137 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:15:44.150 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:15:44.201 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:15:44.214 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:17:47.245 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:17:47.260 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:17:47.275 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:17:47.286 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:22:55.281 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:22:55.295 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:22:55.847 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:22:55.858 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:26:08.433 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:26:08.602 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:26:08.630 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:27:05.696 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:27:05.711 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:27:46.545 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:27:46.711 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:27:46.723 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:29:16.484 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:29:16.497 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:30:33.934 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:30:34.442 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:30:34.454 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:32:21.284 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:32:21.342 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:32:21.884 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:32:21.896 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:33:32.608 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:33:32.665 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:33:32.680 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:33:32.690 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:34:26.823 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:34:26.853 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:34:26.860 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:34:26.877 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:34:26.886 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:35:57.781 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:35:57.805 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:35:57.811 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:35:57.829 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:35:57.839 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:37:12.481 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:37:12.509 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:37:12.514 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:37:12.533 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:37:12.567 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:38:21.659 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:38:21.685 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:38:21.691 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:38:21.708 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:38:21.718 | INFO     | backend.utils.logger:log_action:14 - User action
2025-04-13 14:50:15.305 | INFO     | backend.utils.logger:log_action:14 - User action
